X.1,name,taxon,status_species,spending,region_num,priority,priority_threat,priority_potential,priority_rarity,conflict,ngenus,ngrams_science,ngrams_common
4713,Gopherus polyphemus,Reptiles,3,1216687.58103241,1,9,2,2,1,0,6,3.30299139452417,1.11168849780424
4714,Canis lupus,Mammals,4,4552519.17767107,5,3,3,2,1,1,8,15.007400968334,4.20774784800687
4715,Caretta caretta,Reptiles,3,9784521.46458583,5,7,2,2,3,1,1,12.1062291883534,0.382492784643503
4716,Gambusia gaigei,Fishes,1,32071.9087635054,1,2,3,2,2,0,43,-0.0267892217483531,-0.0926863570894853
4717,Peromyscus polionotus phasma,Mammals,1,19934.6038415366,1,6,3,1,1,1,57,-0.163825750489489,-0.122831986116968
4718,Empidonax traillii extimus,Birds,2,9243800.85234094,3,3,3,2,1,1,15,0.917995561166509,0.696288854522872
4719,Siphateles boraxobius,Fishes,1,75766.206482593,1,2,3,2,2,0,3,-0.163825750489489,-0.100911011544168
4720,Vireo atricapilla,Birds,2,1598681.66866747,NA,2,3,2,2,1,32,-0.163825750489489,-0.122831986116968
4721,Pseudonestor xanthophrys,Birds,1,152812.346938776,1,1,3,2,3,0,1,-0.163825750489489,-0.122831986116968
4722,Rana draytonii,Amphibians,2,2522058.40336134,1,6,3,1,1,1,63,-0.163825750489489,-0.122831986116968
4723,Notropis topeka,Fishes,3,416640.576230492,2,8,2,2,2,1,88,0.00169799271503292,-0.031358565184796
4724,Cyprinella formosa,Fishes,1,5884.75390156062,1,2,3,2,2,0,33,-0.0876929495467311,-0.0570299987378697
4725,Pogonichthys macrolepidotus,Fishes,UNK,2980789.68187275,NA,1,3,2,3,1,2,0.745237302542301,1.21638166573649
4727,Notropis cahabae,Fishes,2,67674.6698679472,1,2,3,2,2,0,88,0.0567858190260555,-0.0756574562388477
4728,Polysticta stelleri,Birds,2,614956.782713085,1,9,2,2,1,0,1,-0.163825750489489,-0.122831986116968
4729,Gila ditaenia,Fishes,1,47813.6254501801,1,2,3,2,2,1,20,-8.6970882650091e-4,-0.0775950856278944
4730,Gila elegans,Fishes,1,2197940.87034814,3,5,3,1,2,1,20,0.691482289352546,0.403699015606693
4731,Megaptera novaeangliae,Mammals,3,723236.254501801,NA,3,3,2,1,NA,1,8.48128636925994,3.21837808380541
4732,Moapa coriacea,Fishes,1,86020.3901560624,1,1,3,2,3,0,1,-0.0382492764194101,-0.0940579525929459
4733,Sylvilagus palustris hefneri,Mammals,1,96362.8451380552,1,6,3,1,1,1,23,-0.112679748976909,-0.119095575828745
4734,Cyprinodon macularius,Fishes,1,78561.4645858343,2,2,3,2,2,1,44,0.686914701868387,0.224241100289827
4736,Nerodia sipedon insularum,Reptiles,2,2103.79951980792,NA,3,3,2,1,1,10,-0.0294886275362756,-0.120953691664046
4737,Graptemys oculifera,Reptiles,2,456.068427370948,1,14,1,2,2,0,14,0.0707569401209764,-0.119266150098247
4738,Etheostoma chienense,Fishes,1,20714.3337334934,1,5,3,1,2,0,145,-0.10548247377314,-0.10779246754615
4739,Etheostoma sellare,Fishes,Prob. Extinct,6429.09363745498,1,8,2,2,2,0,145,-0.0747516620076205,-0.100783566397659
4740,Sternotherus depressus,Reptiles,2,54433.9735894358,1,14,1,2,2,0,4,0.03929448032851,-0.0668651917494542
4741,Notropis albizonatus,Fishes,1,6620.3481392557,1,5,3,1,2,0,88,-0.0942458440683607,-0.112776702540743
4743,Paroreomyza flammea,Birds,Prob. Extinct,15270.9363745498,1,5,3,1,2,0,3,-0.123497498889531,-0.116057647647119
4744,Mycteria americana,Birds,3,9542790.48619448,1,6,3,1,1,1,4,1.60259755534339,0.687144985657974
4745,Percina antesella,Fishes,1,150826.242496999,1,5,3,1,2,0,49,-0.0420190544834504,-0.105566540397163
4747,Etheostoma nianguae,Fishes,2,79444.1776710684,1,8,2,2,2,0,145,-0.0106565740595389,-0.0852218058185475
4748,Cyprinella caerulea,Fishes,2,170437.18487395,1,8,2,2,2,0,33,-0.0589060309361243,-0.0905150704258946
4749,Charadrius melodus,Birds,3,4203759.23769508,5,2,3,2,2,1,31,2.8911091869989,2.40514263119233
4750,Chasmistes cujus,Fishes,1,1298456.2364946,1,2,3,2,2,0,5,-0.163825750489489,-0.122831986116968
4751,Crocodylus acutus,Reptiles,2,448962.587034814,1,2,3,2,2,1,14,0.974910994557312,0.25271899660332
4753,Salvelinus confluentus,Fishes,4,14926707.695078,3,9,2,2,1,0,47,2.49948857775353,5.31695188247807
4754,Falco femoralis septentrionalis,Birds,1,181323.979591837,1,3,3,2,1,0,39,0.0414330041055134,-0.0430585488988216
4755,Percina pantherina,Fishes,2,152518.109243697,2,11,2,1,2,1,49,-0.0242922004327606,-0.0876730191197167
4756,Thamnophis gigas,Reptiles,2,3369271.71068427,1,2,3,2,2,1,35,-0.163825750489489,-0.122831986116968
4757,Thamnophis sirtalis tetrataenia,Reptiles,2,108867.947178872,1,3,3,2,1,1,35,-0.163825750489489,-0.122831986116968
4759,Gallinula galeata sandvicensis,Birds,2,126948.853541417,1,9,2,2,1,0,9,-0.163825750489489,-0.122831986116968
4760,Branta sandvicensis,Birds,1,417920.510204082,1,2,3,2,2,0,7,0.543088330362575,0.0945313455308933
4761,Lepidochelys olivacea,Reptiles,1,5736208.00120048,2,8,2,2,2,1,2,2.8827444331095,0.00836927790259511
4763,Cyprinodon diabolis,Fishes,1,186914.495798319,1,11,2,1,2,0,44,-0.163825750489489,-0.122831986116968
4764,Akialoa ellisiana,Birds,Extinct,11769.5078031212,1,5,3,1,2,0,4,-0.163825750489489,-0.122831986116968
4765,Leptonycteris yerbabuenae,Mammals,2,423157.941176471,NA,3,3,2,1,0,3,-0.163825750489489,-0.122831986116968
4766,Odocoileus virginianus leucurus,Mammals,2,194770.642256903,1,9,2,2,1,1,2,-0.163825750489489,-0.122831986116968
4767,Vermivora bachmanii,Birds,Prob. Extinct,27996.7166866747,1,5,3,1,2,0,5,-0.163825750489489,-0.122831986116968
4769,Eurycea nana,Amphibians,1,2545.15606242497,1,2,3,2,2,1,32,0.0192614080691943,-0.0813444625426693
4770,Canis rufus,Mammals,1,1845679.50180072,1,5,3,1,2,1,8,1.2885271306501,1.91362784283311
4771,Rhinichthys osculus oligoporus,Fishes,1,47225.150060024,1,9,2,2,1,1,9,-0.125289173921764,-0.113816380236432
4772,Ictalurus pricei,Fishes,Prob. Extinct,5884.75390156062,1,8,2,2,2,0,10,-0.0542760749446852,-0.0804082240487556
4774,Xantusia riversiana,Reptiles,1,45974.6398559424,NA,8,2,2,2,0,14,-0.0235895497392172,-0.0915195428854837
4775,Chasmistes brevirostris,Fishes,1,1826318.66146459,2,8,2,2,2,1,5,0.256272854242994,-0.0188699883476784
4776,Etheostoma boschungi,Fishes,1,31836.518607443,1,8,2,2,2,0,145,0.0147313925940057,-0.0497170600602717
4777,Moho braccatus,Birds,Prob. Extinct,12946.4585834334,1,4,3,1,3,0,4,-0.106154852608751,-0.117083971569895
4781,Speyeria zerene behrensii,Invertebrates,1,29718.0072028812,1,3,3,2,1,0,16,-0.163825750489489,-0.122831986116968
4782,Rhadine persephone,Invertebrates,1,588.475390156062,1,2,3,2,2,1,42,-0.0675539718161883,-0.100457512239649
4783,Heterelmis comalensis,Invertebrates,1,588.475390156062,1,2,3,2,2,1,20,-0.0842117759768234,-0.108283440746274
4784,Microhexura montivaga,Invertebrates,1,31042.0768307323,2,5,3,1,2,0,2,-0.163825750489489,-0.122831986116968
4785,Callophrys mossii bayensis,Invertebrates,1,17654.2617046819,1,9,2,2,1,0,21,-0.0777646754371984,-0.0761060799454691
4786,Lioplax cyclostomaformis,Invertebrates,1,691.458583433373,1,8,2,2,2,0,5,-0.141280220865636,-0.115359290867996
4787,Branchinecta lynchi,Invertebrates,3,2871936.44657863,2,2,3,2,2,1,48,0.662424954475796,0.225841076318165
4788,Physa natricina,Invertebrates,1,99967.2569027611,NA,5,3,1,2,1,17,-0.104350489342769,-0.0981065791782588
4789,Pyrgulopsis bruneauensis,Invertebrates,1,852082.941176471,1,2,3,2,2,1,127,-0.0334442130891626,-0.0734466477603541
4790,Epioblasma curtisii,Invertebrates,1,12872.8991596639,2,6,3,1,1,0,23,-0.163825750489489,-0.122831986116968
4791,Amblema neislerii,Invertebrates,1,80915.3661464586,1,5,3,1,2,0,4,-0.0729336038671892,-0.111397474076291
4793,Glaucopsyche lygdamus palosverdesensis,Invertebrates,1,164037.515006002,1,6,3,1,1,0,2,-0.0919521517865718,-0.0600767117133915
4794,Theliderma stapes,Invertebrates,Prob. Extinct,1029.83193277311,1,5,3,1,2,0,5,-0.163825750489489,-0.118891352120435
4795,Parvaspina steinstansana,Invertebrates,1,51447.4609843938,1,5,3,1,2,0,1,-0.163825750489489,-0.120367528749499
4796,Apodemia mormo langei,Invertebrates,1,25010.2040816327,1,9,2,2,1,0,11,-0.163825750489489,-0.122831986116968
4797,Theliderma cylindrica strigillata,Invertebrates,2,11769.5078031212,2,6,3,1,1,0,5,-0.163825750489489,-0.110260408682772
4798,Euproserpinus euterpe,Invertebrates,1,18654.6698679472,1,2,3,2,2,0,3,-0.120107156237265,-0.109976188861623
4799,Fusconaia cor,Invertebrates,1,19169.5858343337,2,5,3,1,2,0,15,-0.116860717595939,-0.104417084416146
4800,Patera clarki nantahala,Invertebrates,1,1471.18847539016,1,9,2,2,1,0,13,-0.163825750489489,-0.122831986116968
4801,Alasmidonta heterodon,Invertebrates,1,159550.390156062,2,5,3,1,2,0,12,0.222782946598242,-0.0887476171402862
4802,Villosa perpurpurea,Invertebrates,1,17919.0756302521,2,5,3,1,2,0,17,-0.112955958881888,-0.0938056001055568
4803,Lepidurus packardi,Invertebrates,4,3797873.04921969,2,2,3,2,2,1,9,0.642502879873514,0.15574350665001
4804,Branchinecta longiantenna,Invertebrates,1,1524739.73589436,1,8,2,2,2,0,48,0.120985167416247,-0.0534686325641195
4805,Epioblasma perobliqua,Invertebrates,1,11769.5078031212,1,6,3,1,1,1,23,-0.163825750489489,-0.117984497373318
4806,Potamilus inflatus,Invertebrates,1,44724.1296518607,1,8,2,2,2,1,9,0.141873021355638,-0.0621263985044481
4807,Syncaris pacifica,Invertebrates,1,54581.0924369748,1,8,2,2,2,1,2,0.1741097788706,-0.0170101321927706
4809,Hemistena lata,Invertebrates,1,20434.8079231693,2,4,3,1,3,0,1,-0.10274568136931,-0.116405823770267
4810,Hamiota subangulata,Invertebrates,2,2383.32533013205,1,5,3,1,2,0,4,-0.163825750489489,-0.110165561920514
4811,Habroscelimorpha dorsalis dorsalis,Invertebrates,2,44429.8919567827,1,6,3,1,1,0,10,-0.163825750489489,-0.122831986116968
4813,Papilio aristodemus ponceana,Invertebrates,1,50667.731092437,1,3,3,2,1,1,28,-0.163825750489489,-0.122831986116968
4814,Epioblasma penita,Invertebrates,1,34823.031212485,1,2,3,2,2,1,23,-0.163825750489489,-0.122831986116968
4816,Pleurobema pyriforme,Invertebrates,2,2662.85114045618,1,5,3,1,2,0,24,-0.0572784597349894,-0.104137814258561
4817,Cyprogenia stegaria,Invertebrates,1,62348.9675870348,3,5,3,1,2,0,2,0.0622546345725037,-0.0238572496207095
4818,Stygobromus pecki,Invertebrates,1,588.475390156062,1,2,3,2,2,1,130,-0.163825750489489,-0.122831986116968
4819,Lemiox rimosus,Invertebrates,1,26702.0708283313,2,4,3,1,3,1,1,-0.103135544683449,-0.118016034736239
4821,Pacifastacus fortis,Invertebrates,1,264460.840336134,1,5,3,1,2,0,4,0.0367913226010287,0.0628602705993857
4822,Dromus dromas,Invertebrates,1,43694.2977190876,2,4,3,1,3,1,1,-0.0328308435849055,-0.116397545406679
4823,Streptocephalus woottoni,Invertebrates,1,786938.715486194,1,6,3,1,1,1,28,0.0944975318778155,-0.00987377233949853
4824,Epioblasma torulosa,Invertebrates,Extinct,17654.2617046819,2,6,3,1,1,0,23,0.243760704771492,-0.117682293182218
4825,Athearnia anthonyi,Invertebrates,1,6502.65306122449,1,5,3,1,2,0,1,-0.0555403858214024,-0.101861382373132
4826,Epioblasma othcaloogensis,Invertebrates,Prob. Extinct,13240.6962785114,1,5,3,1,2,0,23,-0.130548543448672,-0.117221759427876
4827,Discus macclintocki,Invertebrates,1,34955.4381752701,1,14,1,2,2,0,12,-0.163825750489489,-0.122831986116968
4830,Quadrula fragosa,Invertebrates,1,183457.202881152,3,2,3,2,2,1,17,0.231906208830456,-0.0404590133373105
4831,Epioblasma turgidula,Invertebrates,Extinct,13726.1884753902,1,5,3,1,2,0,23,-0.122007558459764,-0.12014866330455
4832,Margaritifera hembeli,Invertebrates,1,46607.2509003601,1,8,2,2,2,0,13,-0.125337794203059,-0.095282329190935
4833,Pyrgus ruralis lagunae,Invertebrates,1,68410.2641056423,1,3,3,2,1,1,8,-0.0955673483534788,-0.0981109507978759
4834,Obovaria retusa,Invertebrates,1,46989.7599039616,1,5,3,1,2,0,7,-0.0767173465195065,-0.0956770674780994
4836,Pseudotryonia alamosae,Invertebrates,1,3677.97118847539,1,14,1,2,2,0,4,-0.163825750489489,-0.122831986116968
4837,Trimerotropis infantilis,Invertebrates,1,25010.2040816327,1,8,2,2,2,0,41,-0.0151650698623512,-0.0912719051862316
4838,Lirceus usdagalun,Invertebrates,2,147.118847539016,1,8,2,2,2,0,16,-0.121751035271132,-0.1180711829645
4839,Idaholanx fresti,Invertebrates,1,100526.308523409,1,8,2,2,2,0,1,-0.163825750489489,-0.116224517897665
4840,Lampsilis higginsii,Invertebrates,1,287470.228091236,2,5,3,1,2,1,24,-0.0803376990406765,-0.0674304635014909
4842,Medionidus parvulus,Invertebrates,1,16918.6674669868,1,5,3,1,2,0,6,-0.104522596607936,-0.115823053438282
4843,Nicrophorus americanus,Invertebrates,2,286749.345738295,5,5,3,1,2,1,69,0.893424759841762,0.224776369677269
4845,Branchinecta sandiegonensis,Invertebrates,2,1392332.77310924,1,2,3,2,2,1,48,0.0736289824663387,0.0400927278764776
4846,Desmocerus californicus dimorphus,Invertebrates,2,3625493.89555822,1,9,2,2,1,0,3,0.699870481739584,0.359342245746086
4847,Epioblasma walkeri,Invertebrates,1,54389.8379351741,2,5,3,1,2,0,23,-0.106235246192491,-0.104231646804376
4848,Pleurobema decisum,Invertebrates,2,85932.118847539,1,5,3,1,2,0,24,-0.0655395794645522,-0.110195499955434
4849,Brychius hungerfordi,Invertebrates,1,7900.28211284514,1,5,3,1,2,0,4,-0.0795753751481324,-0.111295655261109
4851,Speyeria zerene hippolyta,Invertebrates,1,219133.523409364,2,3,3,2,1,1,16,0.0861825743965463,-0.0108019680520132
4852,Texella reddelli,Invertebrates,2,588.475390156062,1,2,3,2,2,1,21,-0.0834188777132908,-0.100866185040904
4853,Novisuccinea chittenangoensis,Invertebrates,1,6841.02641056423,1,5,3,1,2,0,2,-0.163825750489489,-0.122831986116968
4854,Pleurobema marshalli,Invertebrates,Extinct,30453.6014405762,1,5,3,1,2,0,24,-0.163825750489489,-0.122831986116968
4855,Lampsilis abrupta,Invertebrates,2,115194.057623049,3,5,3,1,2,0,24,0.119670594607577,-0.0245252940123669
4856,Texella reyesi,Invertebrates,2,3530.85234093637,1,2,3,2,2,1,21,-0.0747805671371845,-0.101042059613964
4857,Euphydryas editha quino,Invertebrates,1,727723.379351741,1,3,3,2,1,1,6,0.0579685608960369,-0.0407531431735462
4858,Tartarocreagris texana,Invertebrates,1,588.475390156062,1,2,3,2,2,1,14,-0.149908054551688,-0.106132107128159
4859,Epioblasma brevidens,Invertebrates,1,21729.4537815126,2,5,3,1,2,0,23,-0.0501608472411641,-0.101518851250972
4863,Somatochlora hineana,Invertebrates,2,394013.697478992,1,5,3,1,2,0,29,-0.163825750489489,-0.122831986116968
4864,Batrisodes texanus,Invertebrates,1,441.356542617047,1,2,3,2,2,1,8,-0.163825750489489,-0.122831986116968
4865,Theliderma intermedia,Invertebrates,1,22509.1836734694,2,5,3,1,2,1,5,-0.163825750489489,-0.107492446063764
4866,Texamaurops reddelli,Invertebrates,1,588.475390156062,1,2,3,2,2,1,1,-0.0849425391284465,-0.10579364687718
4867,Antrolana lira,Invertebrates,3,5634.6518607443,1,4,3,1,3,0,1,-0.062974180625938,-0.111198388404985
4868,Pleurobema taitianum,Invertebrates,1,27599.4957983193,1,5,3,1,2,1,24,-0.163825750489489,-0.122831986116968
4869,Pegias fabula,Invertebrates,1,32027.7731092437,2,4,3,1,3,0,1,-0.163825750489489,-0.122831986116968
4870,Arcidens wheeleri,Invertebrates,1,108279.471788715,2,4,3,1,3,1,2,-0.13922857422116,-0.119639740034019
4871,Stygobromus hayi,Invertebrates,1,4899.05762304922,1,5,3,1,2,0,130,-0.125250016569824,-0.119670536668152
4872,Toxolasma cylindrellus,Invertebrates,1,1765.42617046819,1,5,3,1,2,0,8,-0.142861209419952,-0.10603421092301
4874,Euphydryas editha bayensis,Invertebrates,1,23539.0156062425,1,3,3,2,1,1,6,-0.163825750489489,-0.122831986116968
4875,Thermosphaeroma thermophilum,Invertebrates,1,5884.75390156062,1,2,3,2,2,0,7,-0.132599882230862,-0.10771397723808
4877,Speyeria callippe callippe,Invertebrates,1,17654.2617046819,1,9,2,2,1,1,16,-0.0321877579796014,-0.113578898216617
4878,Alasmidonta raveneliana,Invertebrates,1,21185.1140456182,1,5,3,1,2,0,12,-0.0610358585537214,-0.0990798611503357
4879,Stygoparnus comalensis,Invertebrates,1,588.475390156062,1,1,3,2,3,1,1,-0.102969892390918,-0.107680199644755
4880,Pleurobema curtum,Invertebrates,Prob. Extinct,1544.74789915966,1,5,3,1,2,1,24,-0.163825750489489,-0.122831986116968
4881,Hamiota altilis,Invertebrates,2,165332.160864346,1,8,2,2,2,0,4,-0.163825750489489,-0.12069796282075
4882,Orthalicus reses,Invertebrates,2,10739.6758703481,1,3,3,2,1,0,2,-0.163825750489489,-0.122831986116968
4883,Lampsilis virescens,Invertebrates,1,2206.78271308523,1,5,3,1,2,0,24,-0.118424998673705,-0.120140208207444
4884,Lasmigona decorata,Invertebrates,1,378860.456182473,1,5,3,1,2,0,8,-0.0711552251917398,-0.0938283893107637
4886,Oxyloma kanabense,Invertebrates,1,145456.404561825,2,6,3,1,1,1,15,-0.163825750489489,-0.0595589017167206
4887,Helminthoglypta walkeriana,Invertebrates,2,80915.3661464586,1,8,2,2,2,1,70,-0.0927026423368473,-0.0703667796171593
4888,Epioblasma metastriata,Invertebrates,Prob. Extinct,13240.6962785114,1,5,3,1,2,0,23,-0.0919680806685607,-0.113802191129724
4889,Taylorconcha serpenticola,Invertebrates,1,100849.969987995,1,7,2,2,3,1,2,-0.104017240453224,-0.0989882929224939
4890,Parvaspina collina,Invertebrates,1,44782.9771908764,2,5,3,1,2,0,1,-0.163825750489489,-0.102392885027398
4891,Marstonia ogmorhaphe,Invertebrates,1,4413.56542617047,1,5,3,1,2,0,9,-0.163825750489489,-0.122831986116968
4892,Elliptio chipolaensis,Invertebrates,1,2162.64705882353,1,11,2,1,2,0,38,-0.0659065575041009,-0.10650405610915
4893,Fusconaia cuneolus,Invertebrates,1,21346.9447779112,2,5,3,1,2,0,15,-0.071491212605713,-0.121770562727037
4894,Elimia crenatella,Invertebrates,1,691.458583433373,1,8,2,2,2,0,91,-0.163825750489489,-0.122831986116968
4895,Tulotoma magnifica,Invertebrates,2,38692.2569027611,1,5,3,1,2,0,1,0.371347415967337,-0.0464458329030764
4896,Palaemonias ganteri,Invertebrates,1,8091.53661464586,1,5,3,1,2,0,2,-0.163825750489489,-0.122831986116968
4897,Valvata utahensis,Invertebrates,2,376933.199279712,NA,5,3,1,2,0,38,-0.0780303168113613,-0.120842647613058
4898,Neonympha mitchellii francisci,Invertebrates,1,1471.18847539016,1,3,3,2,1,0,3,-0.00145450358655611,-0.0858138165744874
4899,Medionidus penicillatus,Invertebrates,2,2236.20648259304,1,5,3,1,2,0,6,-0.0677387184681842,-0.104717989450734
4900,Epioblasma rangiana,Invertebrates,2,46313.0132052821,3,6,3,1,1,0,23,-0.125789183942995,-0.0567942400609726
4901,Ambrysus amargosus,Invertebrates,1,124315.426170468,1,8,2,2,2,0,5,-0.0956093769752232,-0.115715330615844
4902,Euphilotes enoptes smithi,Invertebrates,1,57376.3505402161,1,9,2,2,1,0,13,-0.163825750489489,-0.122831986116968
4903,Epioblasma capsaeformis,Invertebrates,1,24230.4741896759,2,5,3,1,2,0,23,-0.0606878928051819,-0.105273972445019
4904,Gammarus acherondytes,Invertebrates,2,103718.787515006,1,2,3,2,2,0,795,-0.00825607932504517,-0.0906295280026484
4905,Plethobasus cicatricosus,Invertebrates,1,17036.362545018,1,5,3,1,2,0,3,-0.0195975007349747,-0.103560867204418
4906,Anguispira picta,Invertebrates,1,3677.97118847539,1,8,2,2,2,0,13,-0.163825750489489,-0.122831986116968
4907,Alasmidonta atropurpurea,Invertebrates,1,31836.518607443,1,5,3,1,2,0,12,-0.0968641448248998,-0.110771382497714
4908,Triodopsis platysayoides,Invertebrates,1,4531.26050420168,1,8,2,2,2,0,42,-0.163825750489489,-0.122831986116968
4909,Polyphylla barbata,Invertebrates,1,23539.0156062425,1,8,2,2,2,0,7,-0.0119893950638839,-0.0863801877148788
4910,Pyrgulopsis neomexicana,Invertebrates,1,3677.97118847539,1,14,1,2,2,0,127,-0.141031477147242,-0.120287723649634
4912,Medionidus acutissimus,Invertebrates,2,64835.2761104442,1,8,2,2,2,0,6,-0.116703331553613,-0.113835847910192
4913,Elliptoideus sloatianus,Invertebrates,2,80915.3661464586,1,11,2,1,2,0,1,-0.026406430257577,-0.0989592825618553
4914,Inflectarius magazinensis,Invertebrates,1,5149.15966386555,NA,8,2,2,2,0,11,-0.163825750489489,-0.116443795730439
4915,Hamiota perovalis,Invertebrates,2,52815.6662665066,1,8,2,2,2,0,4,-0.163825750489489,-0.122831986116968
4916,Branchinecta conservatio,Invertebrates,2,1254041.05642257,1,8,2,2,2,0,48,0.261662723031757,-0.0335349329262241
4917,Plethobasus cooperianus,Invertebrates,1,70720.0300120048,2,5,3,1,2,0,3,0.0665766595818993,-0.119096157031481
4918,Lampsilis streckeri,Invertebrates,1,1471.18847539016,1,5,3,1,2,0,24,-0.0939454304442652,-0.117292867920308
4919,Neonympha mitchellii mitchellii,Invertebrates,1,287617.346938776,3,3,3,2,1,0,3,-0.163825750489489,-0.122831986116968
4920,Theliderma sparsa,Invertebrates,1,20096.4345738295,2,5,3,1,2,0,5,-0.163825750489489,-0.110479612262371
4921,Medionidus simpsonianus,Invertebrates,1,2574.57983193277,1,5,3,1,2,0,6,-0.100803511088895,-0.1138364183817
4923,Rhaphiomidas terminatus abdominalis,Invertebrates,1,134613.745498199,1,6,3,1,1,1,16,-0.163825750489489,-0.122831986116968
4925,Palaemonias alabamae,Invertebrates,2,43400.0600240096,1,5,3,1,2,0,2,0.0823012775478153,-0.0214558895377393
4927,Tayshaneta myopica,Invertebrates,1,7355.94237695078,1,2,3,2,2,1,NA,-0.163825750489489,-0.0949678392004709
4928,Cladonia perforata,Plants,1,33101.7406962785,1,2,3,2,2,0,325,-0.163825750489489,-0.122831986116968
4930,Cyrtandra dentata,Plants,1,33763.7755102041,1,8,2,2,2,0,680,-0.163825750489489,-0.122831986116968
4931,Haplostachys haplostachya,Plants,1,16403.7515006002,1,2,3,2,2,0,5,-0.116550981248634,-0.104680063357909
4932,Echinomastus mariposensis,Plants,2,2059.66386554622,1,2,3,2,2,0,25,-0.163825750489489,-0.122831986116968
4933,Scaevola coriacea,Plants,1,16183.0732292917,1,2,3,2,2,0,75,-0.0179093238795179,-0.119060973805937
4934,Pediocactus bradyi,Plants,1,24421.7286914766,1,2,3,2,2,0,9,-0.163825750489489,-0.122831986116968
4935,Pogogyne nudiuscula,Plants,1,655855.822328932,1,2,3,2,2,1,7,-0.163825750489489,-0.122831986116968
4936,Brodiaea pallida,Plants,1,17654.2617046819,1,2,3,2,2,1,16,0.0232629522389422,-0.105941637406991
4937,Navarretia leucocephala ssp. plieantha,Plants,1,17654.2617046819,1,3,3,2,1,0,34,-0.163825750489489,-0.122831986116968
4938,Wilkesia hobdyi,Plants,1,17212.9051620648,1,2,3,2,2,0,2,-0.139172531460372,-0.12012177681838
4939,Cyrtandra tintinnabula,Plants,1,16550.8703481393,1,5,3,1,2,0,680,-0.163825750489489,-0.122831986116968
4940,Gouania meyenii,Plants,1,16477.3109243697,1,8,2,2,2,0,12,-0.163825750489489,-0.122831986116968
4941,Pentachaeta bellidiflora,Plants,1,16183.0732292917,1,8,2,2,2,0,6,-0.163825750489489,-0.122831986116968
4942,Tetramolopium arenarium,Plants,1,16403.7515006002,1,5,3,1,2,0,11,-0.163825750489489,-0.122831986116968
4943,Cyrtandra crenata,Plants,Prob. Extinct,18316.2965186074,1,5,3,1,2,0,680,-0.163825750489489,-0.122831986116968
4945,Conradina brevifolia,Plants,2,1515.32412965186,1,8,2,2,2,1,6,-0.163825750489489,-0.122831986116968
4946,Erigeron parishii,Plants,2,126522.208883553,1,8,2,2,2,0,197,0.100891971496423,-0.105538433435729
4947,Cyrtandra giffardii,Plants,2,16403.7515006002,1,2,3,2,2,0,680,-0.163825750489489,-0.122831986116968
4948,Lomatium bradshawii,Plants,2,665712.785114046,1,2,3,2,2,0,82,-0.0136603595035935,-0.119693203632555
4951,Schoenocrambe argillacea,Plants,1,3383.73349339736,1,17,1,1,2,0,1,-0.153203947813482,-0.120441392686674
4953,Astragalus robbinsii var. jesupii,Plants,1,18389.855942377,1,12,2,1,1,0,431,-0.163825750489489,-0.122831986116968
4954,Lindera melissifolia,Plants,3,192799.24969988,2,8,2,2,2,0,37,0.19460454320607,0.144421405838971
4956,Spiranthes diluvialis,Plants,2,1179746.03841537,3,2,3,2,2,1,48,-0.163825750489489,-0.122831986116968
4957,Abutilon menziesii,Plants,1,16403.7515006002,1,2,3,2,2,0,43,-0.163825750489489,-0.122831986116968
4958,Cyperus trachysanthos,Plants,1,60980.762304922,1,5,3,1,2,0,131,-0.163825750489489,-0.122831986116968
4959,Cistanthe pulchella,Plants,1,18536.974789916,1,8,2,2,2,0,28,-0.163825750489489,-0.122831986116968
4960,Thysanocarpus conchuliferus,Plants,2,41928.8715486194,1,2,3,2,2,0,7,-0.163825750489489,-0.122831986116968
4962,Lysimachia asperulifolia,Plants,3,225739.159663866,1,8,2,2,2,0,126,-0.163825750489489,-0.122831986116968
4963,Geum radiatum,Plants,2,15447.4789915966,1,2,3,2,2,0,36,-0.0468892224523277,-0.11118855032086
4964,Schiedea sarmentosa,Plants,1,16183.0732292917,1,8,2,2,2,0,34,-0.163825750489489,-0.122831986116968
4965,Cyperus pennatiformis,Plants,1,60833.643457383,1,5,3,1,2,0,131,-0.163825750489489,-0.122831986116968
4966,Labordia cyrtandrae,Plants,1,16771.5486194478,1,5,3,1,2,0,17,-0.163825750489489,-0.122831986116968
4967,Asclepias meadii,Plants,2,56964.4177671068,2,8,2,2,2,0,145,-0.163825750489489,-0.122831986116968
4968,Melicope lydgatei,Plants,1,19787.4849939976,1,5,3,1,2,0,49,-0.163825750489489,-0.122831986116968
4969,Cyrtandra cyaneoides,Plants,1,16477.3109243697,1,2,3,2,2,0,680,-0.163825750489489,-0.122831986116968
4970,Ceanothus ophiochilus,Plants,1,27216.9867947179,1,2,3,2,2,0,64,0.0468627267723234,-0.105300066147291
4971,Phyllostegia parviflora,Plants,1,63261.1044417767,1,5,3,1,2,0,33,-0.163825750489489,-0.122831986116968
4973,Lysimachia maxima,Plants,1,18242.7370948379,1,5,3,1,2,0,126,-0.163825750489489,-0.122831986116968
4974,Cycladenia humilis var. jonesii,Plants,2,9915.81032412965,2,8,2,2,2,0,1,-0.163825750489489,-0.122831986116968
4975,Cirsium vinaceum,Plants,1,735.594237695078,1,2,3,2,2,0,72,-0.0348490338901282,-0.118503075388405
